Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ExtentTestSuite,,,,2023-04-21 12:49:01,2023-04-21 12:49:28,26.239s,PASSED
,,,,,,,
Test Cases/New Test Case,,,,2023-04-21 12:49:02,2023-04-21 12:49:28,25.626s,PASSED
execID = getExecutionSourceName(),,,,2023-04-21 12:49:02,2023-04-21 12:49:02,0.002s,PASSED
extent = com.katalon.plugin.keyword.extentReport.Extent.setupExtentReport(execID),,,,2023-04-21 12:49:02,2023-04-21 12:49:08,5.230s,PASSED
"tcID = ""Test Case 1""",,,,2023-04-21 12:49:08,2023-04-21 12:49:08,0.004s,PASSED
"extentTest = com.katalon.plugin.keyword.extentReport.Extent.startExtentTest(tcID, ""Extent Test"", extent)",,,,2023-04-21 12:49:08,2023-04-21 12:49:08,0.002s,PASSED
driver = startNewBrowser(getExecutedBrowser()),,,,2023-04-21 12:49:08,2023-04-21 12:49:17,9.010s,PASSED
"extentTest.log(INFO, ""Browser Launched"")",,,,2023-04-21 12:49:17,2023-04-21 12:49:17,0.038s,PASSED
"baseUrl = ""https://www.google.com""",,,,2023-04-21 12:49:17,2023-04-21 12:49:17,0.001s,PASSED
"driver.get(baseUrl + ""/"")",,,,2023-04-21 12:49:17,2023-04-21 12:49:23,6.733s,PASSED
maximizeWindow(),,,,2023-04-21 12:49:23,2023-04-21 12:49:24,0.610s,PASSED
"takeScreenshot(""Screenshots/"" + ""googleScreenshot.png"")",,,,2023-04-21 12:49:24,2023-04-21 12:49:27,2.812s,PASSED
"extentTest.log(INFO, ""Snapshot below: "" + extentTest.addScreenCapture(""/Users/bhagyesh/Downloads/integrate_extent_with_katalon-master/Screenshots/googleScreenshot.png""))",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.027s,PASSED
"extentTest.log(INFO, ""Navigated to www.google.com"")",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.001s,PASSED
title = driver.getTitle(),,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.014s,PASSED
println(title),,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.012s,PASSED
"extentTest.log(INFO, ""Get the WebSite title"")",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.003s,PASSED
"if (title.equalsIgnoreCase(""Google""))",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.005s,PASSED
driver.quit(),,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.217s,PASSED
"extentTest.log(INFO, ""Browser closed"")",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.001s,PASSED
"com.katalon.plugin.keyword.extentReport.Extent.tearDownTest(driver, extent, extentTest)",,,,2023-04-21 12:49:27,2023-04-21 12:49:27,0.358s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-04-21 12:49:28,2023-04-21 12:49:28,0.015s,PASSED
